instance,solver,mode,partial_k,lookahead_depth,cost,high_expanded,high_generated,low_expanded,low_generated,cpu_time_or_status,cpu_time_raw,cpu_time,instance_short,instance_short_wide,cost_astar,low_expanded_astar,low_generated_astar,cpu_time_astar,cost_lookahead,low_expanded_lookahead,low_generated_lookahead,cpu_time_lookahead,cost_partial,low_expanded_partial,low_generated_partial,cpu_time_partial
instances\test_28.txt,CBS,lookahead,,4,41,8.0,15.0,230.0,727.0,0.148457,0.148457,0.148457,test_28.txt,test_28.txt,41,230.0,727.0,0.008471,41,230.0,727.0,0.148457,41,245.0,722.0,0.009004
instances\test_29.txt,CBS,astar,,,48,14.0,27.0,496.0,1511.0,0.013562,0.013562,0.013562,test_29.txt,test_29.txt,48,496.0,1511.0,0.013562,48,496.0,1511.0,0.320018,48,539.0,1510.0,0.013998
instances\test_29.txt,CBS,partial,3,,48,14.0,27.0,539.0,1510.0,0.013998,0.013998,0.013998,test_29.txt,test_29.txt,48,496.0,1511.0,0.013562,48,496.0,1511.0,0.320018,48,539.0,1510.0,0.013998
instances\test_29.txt,CBS,lookahead,,4,48,14.0,27.0,496.0,1511.0,0.320018,0.320018,0.320018,test_29.txt,test_29.txt,48,496.0,1511.0,0.013562,48,496.0,1511.0,0.320018,48,539.0,1510.0,0.013998
instances\test_3.txt,CBS,astar,,,28,1.0,1.0,33.0,123.0,0.001989,0.001989,0.001989,test_3.txt,test_3.txt,28,33.0,123.0,0.001989,28,33.0,123.0,0.022205,28,33.0,112.0,0.002306
instances\test_3.txt,CBS,partial,3,,28,1.0,1.0,33.0,112.0,0.002306,0.002306,0.002306,test_3.txt,test_3.txt,28,33.0,123.0,0.001989,28,33.0,123.0,0.022205,28,33.0,112.0,0.002306
instances\test_3.txt,CBS,lookahead,,4,28,1.0,1.0,33.0,123.0,0.022205,0.022205,0.022205,test_3.txt,test_3.txt,28,33.0,123.0,0.001989,28,33.0,123.0,0.022205,28,33.0,112.0,0.002306
instances\test_30.txt,CBS,astar,,,43,417.0,833.0,7229.0,26561.0,0.327372,0.327372,0.327372,test_30.txt,test_30.txt,43,7229.0,26561.0,0.327372,43,7229.0,26561.0,7.412875,43,7231.0,24660.0,0.338098
instances\test_30.txt,CBS,partial,3,,43,417.0,833.0,7231.0,24660.0,0.338098,0.338098,0.338098,test_30.txt,test_30.txt,43,7229.0,26561.0,0.327372,43,7229.0,26561.0,7.412875,43,7231.0,24660.0,0.338098
instances\test_30.txt,CBS,lookahead,,4,43,417.0,833.0,7229.0,26561.0,7.412875,7.412875,7.412875,test_30.txt,test_30.txt,43,7229.0,26561.0,0.327372,43,7229.0,26561.0,7.412875,43,7231.0,24660.0,0.338098
instances\test_31.txt,CBS,astar,,,39,9.0,17.0,294.0,933.0,0.007108,0.007108,0.007108,test_31.txt,test_31.txt,39,294.0,933.0,0.007108,39,294.0,933.0,0.163074,39,292.0,907.0,0.007218
instances\test_31.txt,CBS,partial,3,,39,9.0,17.0,292.0,907.0,0.007218,0.007218,0.007218,test_31.txt,test_31.txt,39,294.0,933.0,0.007108,39,294.0,933.0,0.163074,39,292.0,907.0,0.007218
instances\test_31.txt,CBS,lookahead,,4,39,9.0,17.0,294.0,933.0,0.163074,0.163074,0.163074,test_31.txt,test_31.txt,39,294.0,933.0,0.007108,39,294.0,933.0,0.163074,39,292.0,907.0,0.007218
instances\test_32.txt,CBS,astar,,,30,4.0,7.0,263.0,606.0,0.005001,0.005001,0.005001,test_32.txt,test_32.txt,30,263.0,606.0,0.005001,30,263.0,606.0,0.107321,30,320.0,732.0,0.006558
instances\test_32.txt,CBS,partial,3,,30,4.0,7.0,320.0,732.0,0.006558,0.006558,0.006558,test_32.txt,test_32.txt,30,263.0,606.0,0.005001,30,263.0,606.0,0.107321,30,320.0,732.0,0.006558
instances\test_32.txt,CBS,lookahead,,4,30,4.0,7.0,263.0,606.0,0.107321,0.107321,0.107321,test_32.txt,test_32.txt,30,263.0,606.0,0.005001,30,263.0,606.0,0.107321,30,320.0,732.0,0.006558
instances\test_33.txt,CBS,astar,,,28,10.0,19.0,322.0,956.0,0.007811,0.007811,0.007811,test_33.txt,test_33.txt,28,322.0,956.0,0.007811,28,322.0,956.0,0.191923,28,353.0,985.0,0.008041
instances\test_33.txt,CBS,partial,3,,28,10.0,19.0,353.0,985.0,0.008041,0.008041,0.008041,test_33.txt,test_33.txt,28,322.0,956.0,0.007811,28,322.0,956.0,0.191923,28,353.0,985.0,0.008041
